Patch My PC Supported Products - Report Created on 02/28/2022 20:10:20 - See: https://patchmypc.com/supported-products-scup-catalog
"Product","Vendor"
"Apple iCloud (x86)","Apple"
"Apple iTunes (x64)","Apple"
"Apple iTunes (x86)","Apple"
"Apple Mobile Device Support (x64)","Apple"
"Apple Mobile Device Support (x86)","Apple"
"Apple Software Update","Apple"
"Articulate 360","Articulate Global, Inc."
"GPL Ghostscript (x64)","Artifex Software Inc."
"GPL Ghostscript (x86)","Artifex Software Inc."
"Atlassian Companion (MSI)","Atlassian Inc"
"Audacity","Audacity Team"
"Audacity (x64)","Audacity Team"
"Autodesk Design Review","Autodesk"
"Autodesk Revit 2022","Autodesk"
"Zulu JDK 11 (x64)","Azul Systems, Inc."
"Zulu JDK 17 (x64)","Azul Systems, Inc."
"Zulu JDK 8 (x64)","Azul Systems, Inc."
"Zulu JDK Latest (x64)","Azul Systems, Inc."
"Zulu JRE 17 (x64)","Azul Systems, Inc."
"Zulu JRE 8 (x64)","Azul Systems, Inc."
"Zulu JRE Latest (x64)","Azul Systems, Inc."
"Bandicam","Bandicam.com"
"Bandicut","Bandicam.com"
"PhraseExpress","Bartels Media GmbH"
"Belgium e-ID middleware (MSI-x64)","Belgian Government"
"Belgium e-ID Middleware (MSI-x86)","Belgian Government"
"Belgium e-ID Viewer (MSI)","Belgian Government"
"CONNECTION Client (x64)","Bentley Systems, Incorporated"
"DisplayFusion","Binary Fortress Software"
"Bitwarden","Bitwarden Inc."
"Blender","Blender Foundation"
"Bloomberg Terminal","Bloomberg L.P."
"Blue Jeans Outlook Addin","Blue Jeans"
"BlueJeans","Blue Jeans"
"Bluebeam OCR 2020","Bluebeam, Inc."
"Bluebeam Revu 2020 (x64)","Bluebeam, Inc."
"FlashBack Express","Blueberry Software (UK) Ltd."
"Allway Sync (x64)","Botkind Inc"
"Allway Sync (x86)","Botkind Inc"
"Box Drive (x64)","Box, Inc."
"Box Drive (x86)","Box, Inc."
"Box For Office","Box, Inc."
"BoxSync (x64)","Box, Inc."
"BoxSync (x86)","Box, Inc."
"BoxTools","Box, Inc."
"CDBurnerXP (x64)","Canneverbe Limited"
"CDBurnerXP (x86)","Canneverbe Limited"
"Chef Infra Client (x64)","Chef Software, Inc."
"Cisco AnyConnect AMP Enabler Module","Cisco Systems, Inc."
"Cisco AnyConnect Diagnostics and Reporting Tool","Cisco Systems, Inc."
"Cisco AnyConnect ISE Compliance Module","Cisco Systems, Inc."
"Cisco AnyConnect ISE Posture Module","Cisco Systems, Inc."
"Cisco AnyConnect Network Access Manager","Cisco Systems, Inc."
"Cisco AnyConnect Network Visibility Module","Cisco Systems, Inc."
"Cisco AnyConnect Posture Module","Cisco Systems, Inc."
"Cisco AnyConnect Secure Mobility Client","Cisco Systems, Inc."
"Cisco AnyConnect Start Before Login Module","Cisco Systems, Inc."
"Cisco AnyConnect Umbrella Roaming Security Module","Cisco Systems, Inc."
"Cisco AnyConnect Web Security Module","Cisco Systems, Inc."
"Cisco Jabber 12","Cisco Systems, Inc."
"Cisco Jabber 14","Cisco Systems, Inc."
"Cisco Network Recording Player","Cisco Systems, Inc."
"Cisco WebEx Meetings","Cisco Systems, Inc."
"Cisco WebEx Productivity Tools","Cisco Systems, Inc."
"Cisco WebEx Recorder and Player","Cisco Systems, Inc."
"Cisco WebEx Teams","Cisco Systems, Inc."
"WebEx","Cisco Systems, Inc."
"Citrix Files","Citrix Systems, Inc."
"Citrix HDX RealTime Media Engine","Citrix Systems, Inc."
"Citrix Receiver LTSR","Citrix Systems, Inc."
"Citrix Workspace","Citrix Systems, Inc."
"Citrix Workspace LTSR","Citrix Systems, Inc."
"Royal TS 3","code4ward GmbH"
