Patch My PC Supported Products - Report Created on 02/28/2022 20:10:20 - See: https://patchmypc.com/supported-products-scup-catalog
"Product","Vendor"
"Gpg4win","The Gpg4win Project"
"Wireshark (x64)","The Wireshark developer community"
"Wireshark (x86)","The Wireshark developer community"
"WinMerge (x64)","Thingamahoochie Software"
"WinMerge (x86)","Thingamahoochie Software"
"FileZilla Client (x64)","Tim Kosse"
"FileZilla Client (x86)","Tim Kosse"
"FileZilla Server (x64)","Tim Kosse"
"TortoiseGit (x64)","TortoiseGit"
"TortoiseGit (x86)","TortoiseGit"
"TortoiseSVN (x64)","TortoiseSVN"
"TortoiseSVN (x86)","TortoiseSVN"
"OCZ SSD Utility","Toshiba Corporation"
"PDF-XChange Editor 8 (x64)","Tracker Software Products"
"PDF-XChange Editor 8 (x86)","Tracker Software Products"
"PDF-XChange Editor 9 (x64)","Tracker Software Products"
"PDF-XChange Editor 9 (x86)","Tracker Software Products"
"PDF-XChange PRO 8 (x64)","Tracker Software Products"
"PDF-XChange PRO 8 (x86)","Tracker Software Products"
"PDF-XChange PRO 9 (x64)","Tracker Software Products"
"PDF-XChange PRO 9 (x86)","Tracker Software Products"
"SketchUp Make 2016 (x64)","Trimble, Inc."
"SketchUp Make 2016(x86)","Trimble, Inc."
"SketchUp Make 2017 (x64)","Trimble, Inc."
"SketchUp Pro 2016 (x64)","Trimble, Inc."
"SketchUp Pro 2016 (x86)","Trimble, Inc."
"SketchUp Pro 2017 (x64)","Trimble, Inc."
"SketchUp Pro 2019 (x64)","Trimble, Inc."
"SketchUp Pro 2020 (x64)","Trimble, Inc."
"SketchUp Pro 2021 (x64)","Trimble, Inc."
"SketchUp Pro 2022 (x64)","Trimble, Inc."
"UltraVNC (x64)","uvnc bvba"
"UltraVNC (x86)","uvnc bvba"
"VLC Media Player (x64) - EXE Install","VideoLAN"
"VLC Media Player (x64) - MSI Install","VideoLAN"
"VLC Media Player (x86) - EXE Install","VideoLAN"
"VLC Media Player (x86) - MSI Install","VideoLAN"
"Vivaldi (x64)","Vivaldi"
"Vivaldi (x86)","Vivaldi"
"Vivi (x64) - MSI Install","Vivi Corporation"
"VMware Horizon Client 5","VMware, Inc."
"VMware Horizon Client 8","VMware, Inc."
"VMware Remote Console","VMware, Inc."
"VMware Tools","VMware, Inc."
"VMware Workstation 10","VMware, Inc."
"VMware Workstation 11","VMware, Inc."
"VMware Workstation Player 12","VMware, Inc."
"VMware Workstation Player 14","VMware, Inc."
"VMware Workstation Player 15","VMware, Inc."
"VMware Workstation Player 16","VMware, Inc."
"VMware Workstation Pro 12","VMware, Inc."
"VMware Workstation Pro 14","VMware, Inc."
"VMware Workstation Pro 15","VMware, Inc."
"VMware Workstation Pro 16","VMware, Inc."
"Everything (x64) - EXE Install","voidtools"
"Everything (x64) - MSI Install","voidtools"
"Everything Lite (x64) - EXE Install","voidtools"
"WinRAR (x64)","win.rar GmbH"
"WinRAR (x86)","win.rar GmbH"
"WinZip 19 (x64)","WinZip Computing, S.L."
"WinZip 19 (x86)","WinZip Computing, S.L."
"WinZip 20 (x64)","WinZip Computing, S.L."
"WinZip 20 (x86)","WinZip Computing, S.L."
"WinZip 23 (x64)","WinZip Computing, S.L."
"WinZip 23 (x86)","WinZip Computing, S.L."
"WinZip 24 (x64)","WinZip Computing, S.L."
"WinZip 24 (x86)","WinZip Computing, S.L."
"WinZip 25 (x64)","WinZip Computing, S.L."
"WinZip 25 (x86)","WinZip Computing, S.L."
"WinZip 26 (x64)","WinZip Computing, S.L."
"WinZip 26 (x86)","WinZip Computing, S.L."
"Charles (x64)","XK72 Ltd"
"Charles (x86)","XK72 Ltd"
"XMind","XMind Ltd."
"Zoom Client for VDI","Zoom"
"Zoom Meetings (User-x64)","Zoom"
"Zoom Meetings (x64)","Zoom"
"Zoom Meetings (x86)","Zoom"
"Zoom Outlook Plugin","Zoom"
"Zoom Plugin for Citrix Receiver","Zoom"
"Zoom Rooms","Zoom"
"Zoom Skype for Business Plugin","Zoom"
"Zscaler Client Connector","Zscaler Inc."
